domain,space,wind,Rm,level,cells,h,Rm_h,dof,k,re,im,status
annulus,N1curl,azimuthal,0.01,0,144,0.25726397550989977,0.002572639755098998,336.0,0,1.8354663471246104,-0.00997202856192589,ok
annulus,N1curl,azimuthal,0.01,0,144,0.25726397550989977,0.002572639755098998,336.0,1,1.8354663471246104,0.00997202856192589,ok
annulus,N1curl,azimuthal,0.01,1,576,0.12863198775494988,0.001286319877549499,1248.0,0,1.8351080171322918,-0.009992423548173581,ok
annulus,N1curl,azimuthal,0.01,1,576,0.12863198775494988,0.001286319877549499,1248.0,1,1.8351080171322918,0.009992423548173581,ok
annulus,N1curl,azimuthal,0.01,2,2304,0.06431599387747497,0.0006431599387747497,4800.0,0,1.8351164247162854,-0.009998044472043237,ok
annulus,N1curl,azimuthal,0.01,2,2304,0.06431599387747497,0.0006431599387747497,4800.0,1,1.8351164247162854,0.009998044472043237,ok
annulus,N1curl,azimuthal,0.1,0,144,0.25726397550989977,0.025726397550989977,336.0,0,1.8354664912059229,-0.09972047697183906,ok
annulus,N1curl,azimuthal,0.1,0,144,0.25726397550989977,0.025726397550989977,336.0,1,1.8354664912059229,0.09972047697183906,ok
annulus,N1curl,azimuthal,0.1,1,576,0.12863198775494988,0.012863198775494989,1248.0,0,1.8351080285424626,-0.0999242476013494,ok
annulus,N1curl,azimuthal,0.1,1,576,0.12863198775494988,0.012863198775494989,1248.0,1,1.8351080285424626,0.0999242476013494,ok
annulus,N1curl,azimuthal,0.1,2,2304,0.06431599387747497,0.006431599387747497,4800.0,0,1.835116425502654,-0.09998044549638713,ok
annulus,N1curl,azimuthal,0.1,2,2304,0.06431599387747497,0.006431599387747497,4800.0,1,1.835116425502654,0.09998044549638713,ok
annulus,N1curl,azimuthal,1.0,0,144,0.25726397550989977,0.25726397550989977,,-1,,,ConvergenceError
annulus,N1curl,azimuthal,1.0,1,576,0.12863198775494988,0.12863198775494988,,-1,,,ConvergenceError
annulus,N1curl,azimuthal,1.0,2,2304,0.06431599387747497,0.06431599387747497,,-1,,,ConvergenceError
annulus,N1curl,azimuthal,2.0,0,144,0.25726397550989977,0.5145279510197995,,-1,,,ConvergenceError
annulus,N1curl,azimuthal,2.0,1,576,0.12863198775494988,0.25726397550989977,,-1,,,ConvergenceError
annulus,N1curl,azimuthal,2.0,2,2304,0.06431599387747497,0.12863198775494994,,-1,,,ConvergenceError
annulus,N1curl,azimuthal,4.0,0,144,0.25726397550989977,1.029055902039599,,-1,,,ConvergenceError
annulus,N1curl,azimuthal,4.0,1,576,0.12863198775494988,0.5145279510197995,,-1,,,ConvergenceError
annulus,N1curl,azimuthal,4.0,2,2304,0.06431599387747497,0.2572639755098999,,-1,,,ConvergenceError
annulus,N1curl,grad,0.01,0,144,0.25726397550989977,0.002572639755098998,336.0,0,1.8301154612450214,0.0,ok
annulus,N1curl,grad,0.01,0,144,0.25726397550989977,0.002572639755098998,336.0,1,1.8408285663464132,0.0,ok
annulus,N1curl,grad,0.01,1,576,0.12863198775494988,0.001286319877549499,1248.0,0,1.8297368521310617,0.0,ok
annulus,N1curl,grad,0.01,1,576,0.12863198775494988,0.001286319877549499,1248.0,1,1.8404907844970135,0.0,ok
annulus,N1curl,grad,0.01,2,2304,0.06431599387747497,0.0006431599387747497,4800.0,0,1.82973995628064,0.0,ok
annulus,N1curl,grad,0.01,2,2304,0.06431599387747497,0.0006431599387747497,4800.0,1,1.8405045627388246,0.0,ok
annulus,N1curl,grad,0.1,0,144,0.25726397550989977,0.025726397550989977,336.0,0,1.7825891797139124,0.0,ok
annulus,N1curl,grad,0.1,0,144,0.25726397550989977,0.025726397550989977,336.0,1,1.8894734007146936,0.0,ok
annulus,N1curl,grad,0.1,1,576,0.12863198775494988,0.012863198775494989,1248.0,0,1.781947550481374,0.0,ok
annulus,N1curl,grad,0.1,1,576,0.12863198775494988,0.012863198775494989,1248.0,1,1.8894277442156135,0.0,ok
annulus,N1curl,grad,0.1,2,2304,0.06431599387747497,0.006431599387747497,4800.0,0,1.7818827261481371,0.0,ok
annulus,N1curl,grad,0.1,2,2304,0.06431599387747497,0.006431599387747497,4800.0,1,1.8895168075350983,0.0,ok
annulus,N1curl,grad,1.0,0,144,0.25726397550989977,0.25726397550989977,336.0,0,1.3556917772259347,0.0,ok
annulus,N1curl,grad,1.0,1,576,0.12863198775494988,0.12863198775494988,1248.0,0,1.3536518253683478,0.0,ok
annulus,N1curl,grad,1.0,2,2304,0.06431599387747497,0.06431599387747497,4800.0,0,1.3532193766957135,0.0,ok
annulus,N1curl,grad,2.0,0,144,0.25726397550989977,0.5145279510197995,336.0,0,0.9766052873916954,0.0,ok
annulus,N1curl,grad,2.0,1,576,0.12863198775494988,0.25726397550989977,1248.0,0,0.9751873472158981,0.0,ok
annulus,N1curl,grad,2.0,2,2304,0.06431599387747497,0.12863198775494994,4800.0,0,0.9748962571576003,0.0,ok
annulus,N1curl,grad,4.0,0,144,0.25726397550989977,1.029055902039599,336.0,0,0.46698421368625415,0.0,ok
annulus,N1curl,grad,4.0,1,576,0.12863198775494988,0.5145279510197995,1248.0,0,0.47027671738319843,0.0,ok
annulus,N1curl,grad,4.0,2,2304,0.06431599387747497,0.2572639755098999,4800.0,0,0.4711355858715444,0.0,ok
annulus,N2curl,azimuthal,0.01,0,144,0.25726397550989977,0.002572639755098998,816.0,0,1.8629176659532762,-0.009986669739125226,ok
annulus,N2curl,azimuthal,0.01,0,144,0.25726397550989977,0.002572639755098998,816.0,1,1.8629176659532762,0.009986669739125226,ok
annulus,N2curl,azimuthal,0.01,1,576,0.12863198775494988,0.001286319877549499,3072.0,0,1.8425520701463465,-0.009998354132397622,ok
annulus,N2curl,azimuthal,0.01,1,576,0.12863198775494988,0.001286319877549499,3072.0,1,1.8425520701463465,0.009998354132397622,ok
annulus,N2curl,azimuthal,0.01,2,2304,0.06431599387747497,0.0006431599387747497,11904.0,0,1.8370493996540387,-0.009999798817427458,ok
annulus,N2curl,azimuthal,0.01,2,2304,0.06431599387747497,0.0006431599387747497,11904.0,1,1.8370493996540387,0.009999798817427458,ok
annulus,N2curl,azimuthal,0.1,0,144,0.25726397550989977,0.025726397550989977,816.0,0,1.8629176570473849,-0.0998667013323456,ok
annulus,N2curl,azimuthal,0.1,0,144,0.25726397550989977,0.025726397550989977,816.0,1,1.8629176570473849,0.0998667013323456,ok
annulus,N2curl,azimuthal,0.1,1,576,0.12863198775494988,0.012863198775494989,3072.0,0,1.842552070031592,-0.09998354157440408,ok
annulus,N2curl,azimuthal,0.1,1,576,0.12863198775494988,0.012863198775494989,3072.0,1,1.842552070031592,0.09998354157440408,ok
annulus,N2curl,azimuthal,0.1,2,2304,0.06431599387747497,0.006431599387747497,11904.0,0,1.8370493996530577,-0.09999798818947167,ok
annulus,N2curl,azimuthal,0.1,2,2304,0.06431599387747497,0.006431599387747497,11904.0,1,1.8370493996530577,0.09999798818947167,ok
annulus,N2curl,azimuthal,1.0,0,144,0.25726397550989977,0.25726397550989977,,-1,,,ConvergenceError
annulus,N2curl,azimuthal,1.0,1,576,0.12863198775494988,0.12863198775494988,,-1,,,ConvergenceError
annulus,N2curl,azimuthal,1.0,2,2304,0.06431599387747497,0.06431599387747497,,-1,,,ConvergenceError
annulus,N2curl,azimuthal,2.0,0,144,0.25726397550989977,0.5145279510197995,,-1,,,ConvergenceError
annulus,N2curl,azimuthal,2.0,1,576,0.12863198775494988,0.25726397550989977,,-1,,,ConvergenceError
annulus,N2curl,azimuthal,2.0,2,2304,0.06431599387747497,0.12863198775494994,,-1,,,ConvergenceError
annulus,N2curl,azimuthal,4.0,0,144,0.25726397550989977,1.029055902039599,,-1,,,ConvergenceError
annulus,N2curl,azimuthal,4.0,1,576,0.12863198775494988,0.5145279510197995,,-1,,,ConvergenceError
annulus,N2curl,azimuthal,4.0,2,2304,0.06431599387747497,0.2572639755098999,,-1,,,ConvergenceError
annulus,N2curl,grad,0.01,0,144,0.25726397550989977,0.002572639755098998,816.0,0,1.857531485305591,0.0,ok
annulus,N2curl,grad,0.01,0,144,0.25726397550989977,0.002572639755098998,816.0,1,1.8683150200223748,0.0,ok
annulus,N2curl,grad,0.01,1,576,0.12863198775494988,0.001286319877549499,3072.0,0,1.837171114813089,0.0,ok
annulus,N2curl,grad,0.01,1,576,0.12863198775494988,0.001286319877549499,3072.0,1,1.847944587447903,0.0,ok
annulus,N2curl,grad,0.01,2,2304,0.06431599387747497,0.0006431599387747497,11904.0,0,1.8316703838621906,0.0,ok
annulus,N2curl,grad,0.01,2,2304,0.06431599387747497,0.0006431599387747497,11904.0,1,1.8424400747064409,0.0,ok
annulus,N2curl,grad,0.1,0,144,0.25726397550989977,0.025726397550989977,816.0,0,1.809576002070997,0.0,ok
annulus,N2curl,grad,0.1,1,576,0.12863198775494988,0.012863198775494989,3072.0,0,1.7892656112181111,0.0,ok
annulus,N2curl,grad,0.1,1,576,0.12863198775494988,0.012863198775494989,3072.0,1,1.8969951857607896,0.0,ok
annulus,N2curl,grad,0.1,2,2304,0.06431599387747497,0.006431599387747497,11904.0,0,1.7837830915315136,0.0,ok
annulus,N2curl,grad,0.1,2,2304,0.06431599387747497,0.006431599387747497,11904.0,1,1.8914817321148254,0.0,ok
annulus,N2curl,grad,1.0,0,144,0.25726397550989977,0.25726397550989977,816.0,0,1.378030331434833,0.0,ok
annulus,N2curl,grad,1.0,1,576,0.12863198775494988,0.12863198775494988,3072.0,0,1.3597168278986436,0.0,ok
annulus,N2curl,grad,1.0,2,2304,0.06431599387747497,0.06431599387747497,11904.0,0,1.3547961464055627,0.0,ok
annulus,N2curl,grad,2.0,0,144,0.25726397550989977,0.5145279510197995,816.0,0,0.993303407940815,0.0,ok
annulus,N2curl,grad,2.0,1,576,0.12863198775494988,0.25726397550989977,3072.0,0,0.9797443773765661,0.0,ok
annulus,N2curl,grad,2.0,2,2304,0.06431599387747497,0.12863198775494994,11904.0,0,0.976084766311695,0.0,ok
annulus,N2curl,grad,4.0,0,144,0.25726397550989977,1.029055902039599,816.0,0,0.4728270708465246,0.0,ok
annulus,N2curl,grad,4.0,1,576,0.12863198775494988,0.5145279510197995,3072.0,0,0.47197638043111695,0.0,ok
annulus,N2curl,grad,4.0,2,2304,0.06431599387747497,0.2572639755098999,11904.0,0,0.4715918266568437,0.0,ok
