domain,space,wind,Rm,level,cells,h,Rm_h,dof,k,re,im,status
lshape,N1curl,grad,0.01,0,192,0.25,0.0025,417.0,0,1.4438535723808394,0.0,ok
lshape,N1curl,grad,0.01,0,192,0.25,0.0025,417.0,1,3.5349442985745547,0.0,ok
lshape,N1curl,grad,0.01,0,192,0.25,0.0025,417.0,2,9.905813917083341,0.0,ok
lshape,N1curl,grad,0.01,0,192,0.25,0.0025,417.0,3,9.91559442481511,0.0,ok
lshape,N1curl,grad,0.01,0,192,0.25,0.0025,417.0,4,11.368683296314888,0.0,ok
lshape,N1curl,grad,0.01,0,192,0.25,0.0025,417.0,5,12.408818712499736,0.0,ok
lshape,N1curl,grad,0.01,0,192,0.25,0.0025,417.0,6,19.398478304552402,0.0,ok
lshape,N1curl,grad,0.01,0,192,0.25,0.0025,417.0,7,21.242857992820145,0.0,ok
lshape,N1curl,grad,0.01,1,768,0.125,0.00125,1601.0,0,1.4626373803142252,0.0,ok
lshape,N1curl,grad,0.01,1,768,0.125,0.00125,1601.0,1,3.5340825152691364,0.0,ok
lshape,N1curl,grad,0.01,1,768,0.125,0.00125,1601.0,2,9.875146183648429,0.0,ok
lshape,N1curl,grad,0.01,1,768,0.125,0.00125,1601.0,3,9.885092199868808,0.0,ok
lshape,N1curl,grad,0.01,1,768,0.125,0.00125,1601.0,4,11.384239370069642,0.0,ok
lshape,N1curl,grad,0.01,1,768,0.125,0.00125,1601.0,5,12.515581891936144,0.0,ok
lshape,N1curl,grad,0.01,1,768,0.125,0.00125,1601.0,6,19.654599376914646,0.0,ok
lshape,N1curl,grad,0.01,1,768,0.125,0.00125,1601.0,7,21.34888821049508,0.0,ok
lshape,N1curl,grad,0.01,2,3072,0.0625,0.000625,6273.0,0,1.4703742303629503,0.0,ok
lshape,N1curl,grad,0.01,2,3072,0.0625,0.000625,6273.0,1,3.5340242547914125,0.0,ok
lshape,N1curl,grad,0.01,2,3072,0.0625,0.000625,6273.0,2,9.867257118549523,0.0,ok
lshape,N1curl,grad,0.01,2,3072,0.0625,0.000625,6273.0,3,9.877243694705514,0.0,ok
lshape,N1curl,grad,0.01,2,3072,0.0625,0.000625,6273.0,4,11.388142350802134,0.0,ok
lshape,N1curl,grad,0.01,2,3072,0.0625,0.000625,6273.0,5,12.551799466471293,0.0,ok
lshape,N1curl,grad,0.01,2,3072,0.0625,0.000625,6273.0,6,19.718083267060365,0.0,ok
lshape,N1curl,grad,0.01,2,3072,0.0625,0.000625,6273.0,7,21.391374111287075,0.0,ok
lshape,N1curl,grad,0.01,3,12288,0.03125,0.0003125,24833.0,0,1.4735124305902279,0.0,ok
lshape,N1curl,grad,0.01,3,12288,0.03125,0.0003125,24833.0,1,3.5340355715139173,0.0,ok
lshape,N1curl,grad,0.01,3,12288,0.03125,0.0003125,24833.0,2,9.865273528083545,0.0,ok
lshape,N1curl,grad,0.01,3,12288,0.03125,0.0003125,24833.0,3,9.875270177337038,0.0,ok
lshape,N1curl,grad,0.01,3,12288,0.03125,0.0003125,24833.0,4,11.38914586927307,0.0,ok
lshape,N1curl,grad,0.01,3,12288,0.03125,0.0003125,24833.0,5,12.564698962403916,0.0,ok
lshape,N1curl,grad,0.01,3,12288,0.03125,0.0003125,24833.0,6,19.73393819957334,0.0,ok
lshape,N1curl,grad,0.01,3,12288,0.03125,0.0003125,24833.0,7,21.410466228220518,0.0,ok
lshape,N1curl,grad,0.1,0,192,0.25,0.025,417.0,0,1.4430720931718128,0.0,ok
lshape,N1curl,grad,0.1,0,192,0.25,0.025,417.0,1,3.536320956328532,0.0,ok
lshape,N1curl,grad,0.1,0,192,0.25,0.025,417.0,2,9.862432320916396,0.0,ok
lshape,N1curl,grad,0.1,0,192,0.25,0.025,417.0,3,9.960236796017341,0.0,ok
lshape,N1curl,grad,0.1,0,192,0.25,0.025,417.0,4,11.369518309950536,0.0,ok
lshape,N1curl,grad,0.1,0,192,0.25,0.025,417.0,5,12.409667546347682,0.0,ok
lshape,N1curl,grad,0.1,0,192,0.25,0.025,417.0,6,19.399754413579554,0.0,ok
lshape,N1curl,grad,0.1,0,192,0.25,0.025,417.0,7,21.24291944880832,0.0,ok
lshape,N1curl,grad,0.1,1,768,0.125,0.0125,1601.0,0,1.4618386787549111,0.0,ok
lshape,N1curl,grad,0.1,1,768,0.125,0.0125,1601.0,1,3.5355003124186943,0.0,ok
lshape,N1curl,grad,0.1,1,768,0.125,0.0125,1601.0,2,9.831071362610338,0.0,ok
lshape,N1curl,grad,0.1,1,768,0.125,0.0125,1601.0,3,9.930531377979728,0.0,ok
lshape,N1curl,grad,0.1,1,768,0.125,0.0125,1601.0,4,11.385164828577162,0.0,ok
lshape,N1curl,grad,0.1,1,768,0.125,0.0125,1601.0,5,12.516491584639033,0.0,ok
lshape,N1curl,grad,0.1,1,768,0.125,0.0125,1601.0,6,19.65596735378329,0.0,ok
lshape,N1curl,grad,0.1,1,768,0.125,0.0125,1601.0,7,21.348928480619175,0.0,ok
lshape,N1curl,grad,0.1,2,3072,0.0625,0.00625,6273.0,0,1.469568882240709,0.0,ok
lshape,N1curl,grad,0.1,2,3072,0.0625,0.00625,6273.0,1,3.535454300916623,0.0,ok
lshape,N1curl,grad,0.1,2,3072,0.0625,0.00625,6273.0,2,9.823012788307922,0.0,ok
lshape,N1curl,grad,0.1,2,3072,0.0625,0.00625,6273.0,3,9.92287851341662,0.0,ok
lshape,N1curl,grad,0.1,2,3072,0.0625,0.00625,6273.0,4,11.389094114299484,0.0,ok
lshape,N1curl,grad,0.1,2,3072,0.0625,0.00625,6273.0,5,12.552724058873,0.0,ok
lshape,N1curl,grad,0.1,2,3072,0.0625,0.00625,6273.0,6,19.719474665847493,0.0,ok
lshape,N1curl,grad,0.1,2,3072,0.0625,0.00625,6273.0,7,21.391401038487952,0.0,ok
lshape,N1curl,grad,0.1,3,12288,0.03125,0.003125,24833.0,0,1.4727044792567252,0.0,ok
lshape,N1curl,grad,0.1,3,12288,0.03125,0.003125,24833.0,1,3.535469445169059,0.0,ok
lshape,N1curl,grad,0.1,3,12288,0.03125,0.003125,24833.0,2,9.820987127741867,0.0,ok
lshape,N1curl,grad,0.1,3,12288,0.03125,0.003125,24833.0,3,9.920953611182904,0.0,ok
lshape,N1curl,grad,0.1,3,12288,0.03125,0.003125,24833.0,4,11.390105679725382,0.0,ok
lshape,N1curl,grad,0.1,3,12288,0.03125,0.003125,24833.0,5,12.565627065653448,0.0,ok
lshape,N1curl,grad,0.1,3,12288,0.03125,0.003125,24833.0,6,19.73533546184062,0.0,ok
lshape,N1curl,grad,0.1,3,12288,0.03125,0.003125,24833.0,7,21.410486262456104,0.0,ok
lshape,N1curl,grad,1.0,0,192,0.25,0.25,417.0,0,1.3699441156744299,0.0,ok
lshape,N1curl,grad,1.0,0,192,0.25,0.25,417.0,1,3.668884339825338,0.0,ok
lshape,N1curl,grad,1.0,0,192,0.25,0.25,417.0,2,9.485604708777293,0.0,ok
lshape,N1curl,grad,1.0,0,192,0.25,0.25,417.0,3,10.463053363136918,0.0,ok
lshape,N1curl,grad,1.0,0,192,0.25,0.25,417.0,4,11.45275641137102,0.0,ok
lshape,N1curl,grad,1.0,0,192,0.25,0.25,417.0,5,12.494584349827926,0.0,ok
lshape,N1curl,grad,1.0,0,192,0.25,0.25,417.0,6,19.52734846031577,0.0,ok
lshape,N1curl,grad,1.0,0,192,0.25,0.25,417.0,7,21.25154790229045,0.0,ok
lshape,N1curl,grad,1.0,1,768,0.125,0.125,1601.0,0,1.3872797366153375,0.0,ok
lshape,N1curl,grad,1.0,1,768,0.125,0.125,1601.0,1,3.671862159174224,0.0,ok
lshape,N1curl,grad,1.0,1,768,0.125,0.125,1601.0,2,9.451730260793026,0.0,ok
lshape,N1curl,grad,1.0,1,768,0.125,0.125,1601.0,3,10.446185349575337,0.0,ok
lshape,N1curl,grad,1.0,1,768,0.125,0.125,1601.0,4,11.477382416171672,0.0,ok
lshape,N1curl,grad,1.0,1,768,0.125,0.125,1601.0,5,12.607460460059691,0.0,ok
lshape,N1curl,grad,1.0,1,768,0.125,0.125,1601.0,6,19.79266045280232,0.0,ok
lshape,N1curl,grad,1.0,1,768,0.125,0.125,1601.0,7,21.356315921561155,0.0,ok
lshape,N1curl,grad,1.0,2,3072,0.0625,0.0625,6273.0,0,1.3944475838275232,0.0,ok
lshape,N1curl,grad,1.0,2,3072,0.0625,0.0625,6273.0,1,3.672932515814579,0.0,ok
lshape,N1curl,grad,1.0,2,3072,0.0625,0.0625,6273.0,2,9.443092440573423,0.0,ok
lshape,N1curl,grad,1.0,2,3072,0.0625,0.0625,6273.0,3,10.441713698259685,0.0,ok
lshape,N1curl,grad,1.0,2,3072,0.0625,0.0625,6273.0,4,11.483929756648868,0.0,ok
lshape,N1curl,grad,1.0,2,3072,0.0625,0.0625,6273.0,5,12.645166508250302,0.0,ok
lshape,N1curl,grad,1.0,2,3072,0.0625,0.0625,6273.0,6,19.858485114843283,0.0,ok
lshape,N1curl,grad,1.0,2,3072,0.0625,0.0625,6273.0,7,21.39780433783651,0.0,ok
lshape,N1curl,grad,1.0,3,12288,0.03125,0.03125,24833.0,0,1.3973599081050283,0.0,ok
lshape,N1curl,grad,1.0,3,12288,0.03125,0.03125,24833.0,1,3.673291918631966,0.0,ok
lshape,N1curl,grad,1.0,3,12288,0.03125,0.03125,24833.0,2,9.440925629869065,0.0,ok
lshape,N1curl,grad,1.0,3,12288,0.03125,0.03125,24833.0,3,10.44058148370848,0.0,ok
lshape,N1curl,grad,1.0,3,12288,0.03125,0.03125,24833.0,4,11.48574450225343,0.0,ok
lshape,N1curl,grad,1.0,3,12288,0.03125,0.03125,24833.0,5,12.658414641733469,0.0,ok
lshape,N1curl,grad,1.0,3,12288,0.03125,0.03125,24833.0,6,19.874925858918516,0.0,ok
lshape,N1curl,grad,1.0,3,12288,0.03125,0.03125,24833.0,7,21.416331531484637,0.0,ok
lshape,N1curl,grad,2.0,0,192,0.25,0.5,417.0,0,1.1923067962544591,0.0,ok
lshape,N1curl,grad,2.0,0,192,0.25,0.5,417.0,1,4.025632255549315,0.0,ok
lshape,N1curl,grad,2.0,0,192,0.25,0.5,417.0,2,9.188981357505078,0.0,ok
lshape,N1curl,grad,2.0,0,192,0.25,0.5,417.0,3,11.140412960195741,0.0,ok
lshape,N1curl,grad,2.0,0,192,0.25,0.5,417.0,4,11.701842828752936,0.0,ok
lshape,N1curl,grad,2.0,0,192,0.25,0.5,417.0,5,12.752300639617719,0.0,ok
lshape,N1curl,grad,2.0,0,192,0.25,0.5,417.0,6,19.913764385546816,0.0,ok
lshape,N1curl,grad,2.0,0,192,0.25,0.5,417.0,7,21.302095471818866,0.0,ok
lshape,N1curl,grad,2.0,1,768,0.125,0.25,1601.0,0,1.207407985917901,0.0,ok
lshape,N1curl,grad,2.0,1,768,0.125,0.25,1601.0,1,4.037727177283181,0.0,ok
lshape,N1curl,grad,2.0,1,768,0.125,0.25,1601.0,2,9.160717131697435,0.0,ok
lshape,N1curl,grad,2.0,1,768,0.125,0.25,1601.0,3,11.148790216631134,0.0,ok
lshape,N1curl,grad,2.0,1,768,0.125,0.25,1601.0,4,11.752890701254726,0.0,ok
lshape,N1curl,grad,2.0,1,768,0.125,0.25,1601.0,5,12.883131221429245,0.0,ok
lshape,N1curl,grad,2.0,1,768,0.125,0.25,1601.0,6,20.205610974690952,0.0,ok
lshape,N1curl,grad,2.0,1,768,0.125,0.25,1601.0,7,21.410104525507226,0.0,ok
lshape,N1curl,grad,2.0,2,3072,0.0625,0.125,6273.0,0,1.2136054683127906,0.0,ok
lshape,N1curl,grad,2.0,2,3072,0.0625,0.125,6273.0,1,4.041371959740138,0.0,ok
lshape,N1curl,grad,2.0,2,3072,0.0625,0.125,6273.0,2,9.15355468453242,0.0,ok
lshape,N1curl,grad,2.0,2,3072,0.0625,0.125,6273.0,3,11.150589915000063,0.0,ok
lshape,N1curl,grad,2.0,2,3072,0.0625,0.125,6273.0,4,11.76721910116198,0.0,ok
lshape,N1curl,grad,2.0,2,3072,0.0625,0.125,6273.0,5,12.925113936865683,0.0,ok
lshape,N1curl,grad,2.0,2,3072,0.0625,0.125,6273.0,6,20.278165075162438,0.0,ok
lshape,N1curl,grad,2.0,2,3072,0.0625,0.125,6273.0,7,21.45126780111604,0.0,ok
lshape,N1curl,grad,2.0,3,12288,0.03125,0.0625,24833.0,0,1.2161069997399299,0.0,ok
lshape,N1curl,grad,2.0,3,12288,0.03125,0.0625,24833.0,1,4.042491423740416,0.0,ok
lshape,N1curl,grad,2.0,3,12288,0.03125,0.0625,24833.0,2,9.151761689818148,0.0,ok
lshape,N1curl,grad,2.0,3,12288,0.03125,0.0625,24833.0,3,11.151021705039227,0.0,ok
lshape,N1curl,grad,2.0,3,12288,0.03125,0.0625,24833.0,4,11.771448155132632,0.0,ok
lshape,N1curl,grad,2.0,3,12288,0.03125,0.0625,24833.0,5,12.939339102233982,0.0,ok
lshape,N1curl,grad,2.0,3,12288,0.03125,0.0625,24833.0,6,20.29628788412396,0.0,ok
lshape,N1curl,grad,2.0,3,12288,0.03125,0.0625,24833.0,7,21.46908423003551,0.0,ok
lshape,N1curl,grad,4.0,0,192,0.25,1.0,417.0,0,0.7758354328954824,0.0,ok
lshape,N1curl,grad,4.0,0,192,0.25,1.0,417.0,1,5.143590889563389,0.0,ok
lshape,N1curl,grad,4.0,0,192,0.25,1.0,417.0,2,8.97916409239479,0.0,ok
lshape,N1curl,grad,4.0,0,192,0.25,1.0,417.0,3,12.653472324313812,0.0,ok
lshape,N1curl,grad,4.0,0,192,0.25,1.0,417.0,4,12.85856745174626,0.0,ok
lshape,N1curl,grad,4.0,0,192,0.25,1.0,417.0,5,13.787758286165607,0.0,ok
lshape,N1curl,grad,4.0,0,192,0.25,1.0,417.0,6,21.454374168109585,0.0,ok
lshape,N1curl,grad,4.0,0,192,0.25,1.0,417.0,7,21.712366808778064,0.0,ok
lshape,N1curl,grad,4.0,1,768,0.125,0.5,1601.0,0,0.7905814253842798,0.0,ok
lshape,N1curl,grad,4.0,1,768,0.125,0.5,1601.0,1,5.179305544972672,0.0,ok
lshape,N1curl,grad,4.0,1,768,0.125,0.5,1601.0,2,8.981723427809275,0.0,ok
lshape,N1curl,grad,4.0,1,768,0.125,0.5,1601.0,3,12.798429892665665,0.0,ok
