domain,space,wind,Rm,level,cells,h,Rm_h,dof,k,re,im,status
square,N1curl,grad,0.01,0,64,0.7853981633974483,0.007853981633974483,145.0,0,0.9993362528364903,0.0,ok
square,N1curl,grad,0.01,0,64,0.7853981633974483,0.007853981633974483,145.0,1,1.0091167019224798,0.0,ok
square,N1curl,grad,0.01,0,64,0.7853981633974483,0.007853981633974483,145.0,2,1.9656026957563006,0.0,ok
square,N1curl,grad,0.01,0,64,0.7853981633974483,0.007853981633974483,145.0,3,4.055749947612142,0.0,ok
square,N1curl,grad,0.01,0,64,0.7853981633974483,0.007853981633974483,145.0,4,4.064785631290652,0.0,ok
square,N1curl,grad,0.01,0,64,0.7853981633974483,0.007853981633974483,145.0,5,4.892794525290886,0.0,ok
square,N1curl,grad,0.01,0,64,0.7853981633974483,0.007853981633974483,145.0,6,4.893224283069494,0.0,ok
square,N1curl,grad,0.01,0,64,0.7853981633974483,0.007853981633974483,145.0,7,7.430753939132329,0.0,ok
square,N1curl,grad,0.01,1,256,0.39269908169872414,0.003926990816987242,545.0,0,0.9961596803253175,0.0,ok
square,N1curl,grad,0.01,1,256,0.39269908169872414,0.003926990816987242,545.0,1,1.0061056822464902,0.0,ok
square,N1curl,grad,0.01,1,256,0.39269908169872414,0.003926990816987242,545.0,2,1.9915622505428434,0.0,ok
square,N1curl,grad,0.01,1,256,0.39269908169872414,0.003926990816987242,545.0,3,4.011906108331227,0.0,ok
square,N1curl,grad,0.01,1,256,0.39269908169872414,0.003926990816987242,545.0,4,4.021682165962499,0.0,ok
square,N1curl,grad,0.01,1,256,0.39269908169872414,0.003926990816987242,545.0,5,4.975097184115446,0.0,ok
square,N1curl,grad,0.01,1,256,0.39269908169872414,0.003926990816987242,545.0,6,4.975166583175305,0.0,ok
square,N1curl,grad,0.01,1,256,0.39269908169872414,0.003926990816987242,545.0,7,7.862361762550715,0.0,ok
square,N1curl,grad,0.01,2,1024,0.1963495408493623,0.001963495408493623,2113.0,0,0.9953434095471766,0.0,ok
square,N1curl,grad,0.01,2,1024,0.1963495408493623,0.001963495408493623,2113.0,1,1.005329982153417,0.0,ok
square,N1curl,grad,0.01,2,1024,0.1963495408493623,0.001963495408493623,2113.0,2,1.9979968244706514,0.0,ok
square,N1curl,grad,0.01,2,1024,0.1963495408493623,0.001963495408493623,2113.0,3,3.9993656704899925,0.0,ok
square,N1curl,grad,0.01,2,1024,0.1963495408493623,0.001963495408493623,2113.0,4,4.009310918668667,0.0,ok
square,N1curl,grad,0.01,2,1024,0.1963495408493623,0.001963495408493623,2113.0,5,4.993963994574246,0.0,ok
square,N1curl,grad,0.01,2,1024,0.1963495408493623,0.001963495408493623,2113.0,6,4.99397896153763,0.0,ok
square,N1curl,grad,0.01,2,1024,0.1963495408493623,0.001963495408493623,2113.0,7,7.965868220950332,0.0,ok
square,N1curl,grad,0.01,3,4096,0.09817477042468159,0.0009817477042468159,8321.0,0,0.995138225139633,0.0,ok
square,N1curl,grad,0.01,3,4096,0.09817477042468159,0.0009817477042468159,8321.0,1,1.0051348735074819,0.0,ok
square,N1curl,grad,0.01,3,4096,0.09817477042468159,0.0009817477042468159,8321.0,2,1.99960384354784,0.0,ok
square,N1curl,grad,0.01,3,4096,0.09817477042468159,0.0009817477042468159,8321.0,3,3.9961550622874276,0.0,ok
square,N1curl,grad,0.01,3,4096,0.09817477042468159,0.0009817477042468159,8321.0,4,4.006141460452811,0.0,ok
square,N1curl,grad,0.01,3,4096,0.09817477042468159,0.0009817477042468159,8321.0,5,4.998606196047915,0.0,ok
square,N1curl,grad,0.01,3,4096,0.09817477042468159,0.0009817477042468159,8321.0,6,4.998609775969068,0.0,ok
square,N1curl,grad,0.01,3,4096,0.09817477042468159,0.0009817477042468159,8321.0,7,7.991589736476422,0.0,ok
square,N1curl,grad,0.1,0,64,0.7853981633974483,0.07853981633974483,145.0,0,0.9615706918471592,0.0,ok
square,N1curl,grad,0.1,0,64,0.7853981633974483,0.07853981633974483,145.0,1,1.0593171018962209,0.0,ok
square,N1curl,grad,0.1,0,64,0.7853981633974483,0.07853981633974483,145.0,2,1.9781957684649172,0.0,ok
square,N1curl,grad,0.1,0,64,0.7853981633974483,0.07853981633974483,145.0,3,4.0203102779014745,0.0,ok
square,N1curl,grad,0.1,0,64,0.7853981633974483,0.07853981633974483,145.0,4,4.110316701580285,0.0,ok
square,N1curl,grad,0.1,0,64,0.7853981633974483,0.07853981633974483,145.0,5,4.902717281730002,0.0,ok
square,N1curl,grad,0.1,0,64,0.7853981633974483,0.07853981633974483,145.0,6,4.907009814189042,0.0,ok
square,N1curl,grad,0.1,0,64,0.7853981633974483,0.07853981633974483,145.0,7,7.442073262047765,0.0,ok
square,N1curl,grad,0.1,1,256,0.39269908169872414,0.039269908169872414,545.0,0,0.9581366681814316,0.0,ok
square,N1curl,grad,0.1,1,256,0.39269908169872414,0.039269908169872414,545.0,1,1.0575825522581739,0.0,ok
square,N1curl,grad,0.1,1,256,0.39269908169872414,0.039269908169872414,545.0,2,2.0050535891414,0.0,ok
square,N1curl,grad,0.1,1,256,0.39269908169872414,0.039269908169872414,545.0,3,3.9751012838512088,0.0,ok
square,N1curl,grad,0.1,1,256,0.39269908169872414,0.039269908169872414,545.0,4,4.072793103610661,0.0,ok
square,N1curl,grad,0.1,1,256,0.39269908169872414,0.039269908169872414,545.0,5,4.988753438550117,0.0,ok
square,N1curl,grad,0.1,1,256,0.39269908169872414,0.039269908169872414,545.0,6,4.98948128120176,0.0,ok
square,N1curl,grad,0.1,1,256,0.39269908169872414,0.039269908169872414,545.0,7,7.876899133259872,0.0,ok
